# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1771189963307000000,1771189970271000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1771189963307000000,1771189970271000000,1
workspaceModel.mutableEntityStorage.referrers.ms,1771189963307000000,1771189970271000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1771189963307000000,1771189970271000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1771189963307000000,1771189970271000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1771189963307000000,1771189970271000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1771189963307000000,1771189970271000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1771189963307000000,1771189970271000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1771189963307000000,1771189970271000000,0
workspaceModel.global.updates.count,1771189963307000000,1771189970271000000,0
workspaceModel.do.save.caches.ms,1771189963307000000,1771189970271000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1771189963307000000,1771189970271000000,0
jps.global.get.libraries.ms,1771189963307000000,1771189970271000000,0
workspaceModel.load.cache.metadata.from.file.ms,1771189963307000000,1771189970271000000,0
jps.global.get.library.by.name.ms,1771189963307000000,1771189970271000000,0
jps.app.storage.content.reader.load.component.ms,1771189963307000000,1771189970271000000,0
workspaceModel.global.apply.state.to.project.ms,1771189963307000000,1771189970271000000,0
jps.global.get.library.ms,1771189963307000000,1771189970271000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1771189963307000000,1771189970271000000,0
jps.global.handle.changed.events.ms,1771189963307000000,1771189970271000000,0
workspaceModel.sync.entities.ms,1771189963307000000,1771189970271000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1771189963307000000,1771189970271000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1771189963307000000,1771189970271000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1771189963307000000,1771189970271000000,0
jps.global.handle.before.change.events.ms,1771189963307000000,1771189970271000000,0
jps.load.initial.state.ms,1771189963307000000,1771189970271000000,12
jps.library.entities.serializer.save.entities.ms,1771189963307000000,1771189970271000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1771189963307000000,1771189970271000000,0
workspaceModel.global.updates.ms,1771189963307000000,1771189970271000000,0
workspaceModel.save.cache.to.file.ms,1771189963307000000,1771189970271000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1771189963307000000,1771189970271000000,0
workspaceModel.mutableEntityStorage.entities.ms,1771189963307000000,1771189970271000000,1
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1771189963307000000,1771189970271000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1771189963307000000,1771189970271000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1771189963307000000,1771189970271000000,0
workspaceModel.load.cache.from.file.ms,1771189963307000000,1771189970271000000,1
workspaceModel.mutableEntityStorage.entities.by.source.ms,1771189963307000000,1771189970271000000,0
jps.save.global.entities.ms,1771189963307000000,1771189970271000000,0
jps.library.entities.serializer.load.entities.ms,1771189963307000000,1771189970271000000,0
jps.global.initialize.library.bridges.ms,1771189963307000000,1771189970271000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1771189963307000000,1771189970271000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1771189963307000000,1771189970271000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1771189963307000000,1771189970271000000,0
workspaceModel.mutableEntityStorage.instances.count,1771189963307000000,1771189970271000000,3
jps.global.initialize.library.bridges.after.loading.ms,1771189963307000000,1771189970271000000,2
AWTEventQueue.dispatchTimeAvgNs,1771189963307000000,1771189970271000000,0.0
FlushQueue.executionTimeAvgNs,1771189963307000000,1771189970271000000,0.0
FlushQueue.waitingTime90PNs,1771189963307000000,1771189970271000000,0
NonBlockingReadAction.finalizedExecutionsCount,1771189963307000000,1771189970271000000,15
NonBlockingReadAction.failedExecutionTimeUs,1771189963307000000,1771189970271000000,0
WriteAction.executionsCount,1771189963307000000,1771189970271000000,1
AWTEventQueue.dispatchTimeTotalNS,1771189963307000000,1771189970271000000,5676526351
FlushQueue.queueSize90P,1771189963307000000,1771189970271000000,0
FlushQueue.executionTime90PNs,1771189963307000000,1771189970271000000,0
AWTEventQueue.eventsDispatched,1771189963307000000,1771189970271000000,0
FlushQueue.tasksExecuted,1771189963307000000,1771189970271000000,0
AWTEventQueue.dispatchTime90PNs,1771189963307000000,1771189970271000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1771189963307000000,1771189970271000000,33598
NonBlockingReadAction.failedExecutionsCount,1771189963307000000,1771189970271000000,0
FlushQueue.queueSizeAvg,1771189963307000000,1771189970271000000,0.0
FlushQueue.waitingTimeMaxNs,1771189963307000000,1771189970271000000,0
ReadAction.executionsCount,1771189963307000000,1771189970271000000,51296
FlushQueue.executionTimeMaxNs,1771189963307000000,1771189970271000000,0
FlushQueue.waitingTimeAvgNs,1771189963307000000,1771189970271000000,0.0
AWTEventQueue.dispatchTimeMaxNs,1771189963307000000,1771189970271000000,0
FlushQueue.queueSizeMax,1771189963307000000,1771189970271000000,0
writeAction.count,1771189963307000000,1771189970271000000,1
writeAction.wait.ms,1771189963307000000,1771189970271000000,0
writeAction.median.wait.ms,1771189963307000000,1771189970271000000,0
writeAction.max.wait.ms,1771189963307000000,1771189970271000000,0
workspaceModel.cachedValue.clear.ms,1771189963307000000,1771189970271000000,0
workspaceModel.collect.changes.ms,1771189963307000000,1771189970271000000,0
workspaceModel.cachedValue.calculated.ms,1771189963307000000,1771189970271000000,0
workspaceModel.check.recursive.update.ms,1771189963307000000,1771189970271000000,0
workspaceModel.pre.handlers.ms,1771189963307000000,1771189970271000000,0
workspaceModel.update.unloaded.entities.ms,1771189963307000000,1771189970271000000,0
workspaceModel.cachedValue.total.get.ms,1771189963307000000,1771189970271000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1771189963307000000,1771189970271000000,3
workspaceModel.to.snapshot.ms,1771189963307000000,1771189970271000000,0
workspaceModel.initializing.ms,1771189963307000000,1771189970271000000,0
workspaceModel.init.bridges.ms,1771189963307000000,1771189970271000000,0
workspaceModel.cachedValueWithParameters.clear.ms,1771189963307000000,1771189970271000000,0
workspaceModel.cachedValue.from.cache.ms,1771189963307000000,1771189970271000000,0
workspaceModel.full.replace.project.model.ms,1771189963307000000,1771189970271000000,0
workspaceModel.cachedValueWithParameters.calculated.ms,1771189963307000000,1771189970271000000,0
workspaceModel.replace.project.model.ms,1771189963307000000,1771189970271000000,0
workspaceModel.updates.precise.ms,1771189963307000000,1771189970271000000,0
workspaceModel.loading.total.ms,1771189963307000000,1771189970271000000,33
workspaceModel.cachedValueWithParameters.from.cache.ms,1771189963307000000,1771189970271000000,0
workspaceModel.updates.ms,1771189963307000000,1771189970271000000,0
workspaceModel.cachedValueWithParameters.total.get.ms,1771189963307000000,1771189970271000000,0
workspaceModel.updates.count,1771189963307000000,1771189970271000000,0
workspaceModel.loading.from.cache.ms,1771189963307000000,1771189970271000000,25
FilePageCache.uncachedFileAccess,1771189963307000000,1771189970271000000,110
MappedFileStorage.totalTimeSpentOnMappingUs,1771189963307000000,1771189970271000000,8525
FilePageCacheLockFree.housekeeperTurnsSkipped,1771189963307000000,1771189970271000000,0
MappedFileStorage.totalPagesMapped,1771189963307000000,1771189970271000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1771189963307000000,1771189970271000000,0
FilePageCacheLockFree.totalPagesHandedOver,1771189963307000000,1771189970271000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1771189963307000000,1771189970271000000,0
FilePageCache.pageHits,1771189963307000000,1771189970271000000,0
FilePageCache.pageLoads,1771189963307000000,1771189970271000000,196
FilePageCacheLockFree.totalPagesWritten,1771189963307000000,1771189970271000000,0
StorageLockContext.competingThreads.max,1771189963307000000,1771189970271000000,0
FilePageCache.disposedBuffers,1771189963307000000,1771189970271000000,196
FilePageCacheLockFree.housekeeperTimeSpentMs,1771189963307000000,1771189970271000000,0
FilePageCacheLockFree.nativeBytesInUse,1771189963307000000,1771189970271000000,0
FilePageCache.maxRegisteredFiles,1771189963307000000,1771189970271000000,537
StorageLockContext.competingThreads.90P,1771189963307000000,1771189970271000000,0
FilePageCacheLockFree.totalBytesWritten,1771189963307000000,1771189970271000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1771189963307000000,1771189970271000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1771189963307000000,1771189970271000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1771189963307000000,1771189970271000000,41943040
FilePageCache.maxCacheSizeInBytes,1771189963307000000,1771189970271000000,202375168
FilePageCache.totalPageDisposalsUs,1771189963307000000,1771189970271000000,941
FilePageCacheLockFree.totalPagesReadMs,1771189963307000000,1771189970271000000,0
MappedFileStorage.storages,1771189963307000000,1771189970271000000,0
FilePageCacheLockFree.totalPagesWriteMs,1771189963307000000,1771189970271000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1771189963307000000,1771189970271000000,0
FilePageCacheLockFree.totalPagesRequested,1771189963307000000,1771189970271000000,0
DirectByteBufferAllocator.reclaimed,1771189963307000000,1771189970271000000,43
FilePageCacheLockFree.heapBytesInUse,1771189963307000000,1771189970271000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1771189963307000000,1771189970271000000,0
DirectByteBufferAllocator.misses,1771189963307000000,1771189970271000000,193
FilePageCacheLockFree.totalPagesReclaimed,1771189963307000000,1771189970271000000,0
FilePageCache.capacityInBytes,1771189963307000000,1771189970271000000,503316478
FilePageCache.pageFastCacheHits,1771189963307000000,1771189970271000000,3874
FilePageCache.totalPageLoadsUs,1771189963307000000,1771189970271000000,103337
DirectByteBufferAllocator.disposed,1771189963307000000,1771189970271000000,153
FileChannelInterruptsRetryer.totalRetriedAttempts,1771189963307000000,1771189970271000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1771189963307000000,1771189970271000000,41943040
FilePageCacheLockFree.totalClosedStoragesReclaimed,1771189963307000000,1771189970271000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1771189963307000000,1771189970271000000,0
StorageLockContext.competingThreads.avg,1771189963307000000,1771189970271000000,0.0
FilePageCacheLockFree.totalNativeBytesReclaimed,1771189963307000000,1771189970271000000,0
MappedFileStorage.totalBytesMapped,1771189963307000000,1771189970271000000,0
FilePageCacheLockFree.totalBytesRead,1771189963307000000,1771189970271000000,0
FilePageCacheLockFree.totalPagesAllocated,1771189963307000000,1771189970271000000,0
DirectByteBufferAllocator.hits,1771189963307000000,1771189970271000000,3
FilePageCacheLockFree.totalBytesRequested,1771189963307000000,1771189970271000000,0
cacheStateStorage.set.duration,1771189963307000000,1771189970271000000,0
cacheStateStorage.get.counter,1771189963307000000,1771189970271000000,10
cacheStateStorage.get.duration,1771189963307000000,1771189970271000000,0
cacheStateStorage.set.counter,1771189963307000000,1771189970271000000,0
VFS.invertedFileNameIndex.requests,1771189963307000000,1771189970271000000,0
VFS.fileByIdCache.misses,1771189963307000000,1771189970271000000,0
VFS.fileByIdCache.hits,1771189963307000000,1771189970271000000,0
VFS.fileChildByName,1771189963307000000,1771189970271000000,13
